               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.049751,            0.017937,                   0,             0.86205,             0.92579,             0.89488,             0.31021,            0.035728,            0.013589,                   0,           0.0020763,           0.0020763,            0.072176
                 100,            0.051059,            0.020708,                   0,             0.46643,             0.90741,             0.57822,             0.15857,             0.04099,            0.014523,                   0,            0.002081,            0.002081,            0.071881
                 101,            0.052415,             0.02022,                   0,             0.80213,             0.98148,             0.86116,             0.28163,            0.034928,            0.013082,                   0,           0.0020852,           0.0020852,            0.071585
                 102,            0.053397,            0.019499,                   0,             0.51603,             0.85185,             0.61881,             0.14392,            0.035359,            0.013208,                   0,            0.002089,            0.002089,            0.071289
                 103,            0.050984,            0.019285,                   0,             0.74587,             0.92593,             0.85308,             0.30972,            0.031105,            0.012799,                   0,           0.0020925,           0.0020925,            0.070992
                 104,            0.052173,            0.019559,                   0,             0.76681,             0.98148,             0.93635,             0.42273,             0.02615,            0.012102,                   0,           0.0020956,           0.0020956,            0.070696
                 105,            0.046811,            0.019628,                   0,             0.77811,             0.97415,             0.91498,             0.35624,            0.027208,            0.013128,                   0,           0.0020983,           0.0020983,            0.070398
                 106,            0.048613,            0.018207,                   0,             0.79089,             0.98059,             0.92278,             0.44936,            0.028854,            0.012176,                   0,           0.0021006,           0.0021006,            0.070101
                 107,            0.047807,            0.021452,                   0,             0.85442,             0.98148,             0.89923,              0.4702,            0.027732,             0.01249,                   0,           0.0021025,           0.0021025,            0.069802
                 108,            0.048093,            0.019509,                   0,              0.7024,             0.96296,               0.835,               0.332,            0.027934,            0.012039,                   0,            0.002104,            0.002104,            0.069504
                 109,            0.046854,            0.018883,                   0,             0.98111,             0.96202,             0.98868,             0.48318,            0.026489,            0.012375,                   0,           0.0021052,           0.0021052,            0.069205
                 110,            0.046834,            0.018819,                   0,             0.77761,             0.90741,             0.88238,              0.4218,             0.02727,            0.012766,                   0,           0.0021059,           0.0021059,            0.068906
                 111,             0.04834,            0.018807,                   0,             0.81222,             0.96125,             0.95067,             0.50066,            0.029502,            0.011951,                   0,           0.0021063,           0.0021063,            0.068606
                 112,            0.050641,            0.018317,                   0,             0.69237,             0.92593,             0.79825,             0.30964,            0.029216,            0.013142,                   0,           0.0021064,           0.0021064,            0.068306
                 113,            0.046846,            0.019453,                   0,              0.6818,             0.83326,             0.82381,             0.24257,            0.032547,            0.012898,                   0,            0.002106,            0.002106,            0.068006
                 114,            0.046439,            0.018278,                   0,             0.88329,             0.98103,             0.95211,             0.38975,             0.03028,            0.011185,                   0,           0.0021053,           0.0021053,            0.067705
                 115,            0.049052,            0.019926,                   0,              0.7844,             0.94328,              0.8224,             0.36334,            0.030033,            0.011773,                   0,           0.0021042,           0.0021042,            0.067404
                 116,            0.046101,             0.01914,                   0,             0.93102,             0.99981,             0.98841,             0.39833,            0.028051,            0.011845,                   0,           0.0021027,           0.0021027,            0.067103
                 117,            0.047154,            0.019568,                   0,             0.96361,                   1,             0.99427,             0.44377,            0.030505,            0.012184,                   0,           0.0021009,           0.0021009,            0.066801
                 118,            0.045906,             0.01886,                   0,             0.89809,             0.97924,             0.97034,             0.44058,            0.026987,             0.01286,                   0,           0.0020987,           0.0020987,            0.066499
                 119,            0.048998,            0.019423,                   0,             0.96362,             0.98109,             0.99067,             0.40988,            0.028383,            0.012704,                   0,           0.0020962,           0.0020962,            0.066196
                 120,            0.048356,            0.018199,                   0,             0.96405,                   1,             0.99283,             0.41417,            0.027391,            0.013224,                   0,           0.0020933,           0.0020933,            0.065893
                 121,            0.045019,            0.019302,                   0,             0.83032,             0.99686,               0.966,             0.46908,            0.026753,            0.012811,                   0,             0.00209,             0.00209,             0.06559
                 122,            0.044799,            0.018387,                   0,             0.98162,                   1,             0.99445,             0.50667,             0.02515,            0.011941,                   0,           0.0020864,           0.0020864,            0.065286
                 123,             0.04654,            0.018637,                   0,             0.91523,             0.99964,             0.92297,             0.39273,            0.032233,            0.012003,                   0,           0.0020825,           0.0020825,            0.064982
                 124,            0.048301,            0.018569,                   0,             0.98149,                   1,             0.99482,             0.49458,            0.027521,            0.011772,                   0,           0.0020781,           0.0020781,            0.064678
                 125,             0.04515,             0.01849,                   0,             0.86856,             0.98148,             0.89902,              0.4736,             0.02315,            0.013272,                   0,           0.0020735,           0.0020735,            0.064374
                 126,             0.04472,            0.018488,                   0,             0.94652,                   1,             0.99198,             0.55295,            0.021547,            0.012324,                   0,           0.0020685,           0.0020685,            0.064069
                 127,            0.038872,            0.018175,                   0,             0.86743,             0.87037,             0.89998,             0.31388,            0.035553,            0.014095,                   0,           0.0020632,           0.0020632,            0.063763
                 128,            0.042705,            0.017655,                   0,             0.68902,              0.9437,             0.83201,             0.37137,            0.028461,            0.012904,                   0,           0.0020575,           0.0020575,            0.063458
                 129,            0.043787,            0.017665,                   0,             0.89425,             0.94444,             0.96082,              0.3964,            0.027382,            0.011765,                   0,           0.0020515,           0.0020515,            0.063152
                 130,            0.041592,            0.018065,                   0,             0.75393,             0.75926,             0.73504,             0.22575,             0.03341,            0.017227,                   0,           0.0020452,           0.0020452,            0.062845
                 131,            0.045722,            0.017537,                   0,             0.42502,             0.48148,             0.34541,            0.073924,            0.050853,            0.015499,                   0,           0.0020386,           0.0020386,            0.062539
                 132,            0.043169,            0.017136,                   0,             0.55281,             0.48075,             0.38992,            0.063441,            0.049852,            0.012915,                   0,           0.0020317,           0.0020317,            0.062232
                 133,            0.040599,            0.018895,                   0,              0.6724,             0.72218,             0.66813,             0.17684,            0.042124,            0.013869,                   0,           0.0020244,           0.0020244,            0.061924
                 134,            0.043924,            0.017844,                   0,                   1,              0.9997,               0.995,             0.51972,            0.025794,            0.012466,                   0,           0.0020168,           0.0020168,            0.061617
                 135,            0.046209,             0.01862,                   0,               0.909,             0.92593,             0.93759,             0.32313,            0.030953,            0.012583,                   0,            0.002009,            0.002009,            0.061309
                 136,            0.042249,            0.017084,                   0,                   1,             0.99986,               0.995,             0.52624,            0.025574,            0.012184,                   0,           0.0020008,           0.0020008,            0.061001
                 137,            0.044519,            0.017145,                   0,             0.98024,             0.94444,             0.97038,             0.41376,             0.02767,            0.015362,                   0,           0.0019923,           0.0019923,            0.060692
                 138,            0.044602,            0.017099,                   0,             0.96398,                   1,             0.99427,             0.51392,            0.025584,            0.013391,                   0,           0.0019835,           0.0019835,            0.060384
                 139,            0.041514,            0.017963,                   0,             0.98168,                   1,             0.99482,              0.3968,            0.027693,            0.012589,                   0,           0.0019745,           0.0019745,            0.060074
                 140,            0.044693,            0.018681,                   0,                   1,             0.98148,             0.99464,             0.55806,            0.023096,            0.011111,                   0,           0.0019652,           0.0019652,            0.059765
                 141,            0.040889,            0.018888,                   0,             0.92433,             0.90741,             0.97391,             0.61676,            0.020528,            0.010869,                   0,           0.0019556,           0.0019556,            0.059456
                 142,            0.045297,            0.018047,                   0,             0.93103,              0.9999,             0.98887,             0.57779,            0.021017,            0.011671,                   0,           0.0019457,           0.0019457,            0.059146
                 143,            0.042542,            0.017873,                   0,             0.99992,             0.96296,             0.99358,             0.51359,            0.025511,            0.010606,                   0,           0.0019355,           0.0019355,            0.058836
                 144,            0.040117,            0.016861,                   0,                   1,             0.99994,               0.995,             0.51302,            0.026032,            0.011292,                   0,           0.0019251,           0.0019251,            0.058525
                 145,            0.040546,            0.017788,                   0,             0.91057,              0.9428,             0.96043,             0.46274,            0.024805,            0.012681,                   0,           0.0019145,           0.0019145,            0.058214
                 146,            0.042355,             0.01684,                   0,             0.96428,             0.99998,             0.99393,             0.44548,             0.02824,            0.010854,                   0,           0.0019035,           0.0019035,            0.057904
                 147,            0.043327,            0.018043,                   0,             0.94721,                   1,             0.98917,             0.51205,            0.029292,            0.010282,                   0,           0.0018924,           0.0018924,            0.057592
